Feature,Importance
engagement_score,0.8065778316893614
risk_group_LR,0.13924448455502533
fixation_duration_mean,0.026136539433427374
engagement_fixation_interaction,0.012891235550853801
social_responsiveness,0.006615284381981248
saccade_count,0.005411776765171692
theta_power,0.00042010375504743794
hemispheric_asymmetry,0.0003425535027523032
proportion_looking_time,0.00031917095588917356
gamma_power,0.0003103712476500539
frontocentral_coherence,0.00030456384268943276
beta_power,0.00030231303275814403
alpha_power,0.0002971187695057096
pupil_dilation,0.00026729671113916745
reaction_time_ms,0.0002163282977634808
age_months,0.00020782931767423523
theta_alpha_ratio,0.00011020233133116276
stimulus_type_soc,2.499585997897199e-05
stimulus_type_toy,0.0
